index,decim_data,hann_q15,expected_window,rtl_window,error
636,-182,7198,-40,-40,0
637,-214,7219,-47,-47,0
638,-245,7240,-54,-54,0
639,-272,7260,-60,-60,0
640,-296,7281,-66,-66,0
641,-319,7302,-71,-71,0
642,-335,7323,-75,-75,0
643,-348,7344,-78,-78,0
644,-358,7365,-80,-80,0
645,-362,7386,-82,-82,0
646,-357,7407,-81,-81,0
647,-347,7428,-79,-79,0
648,-333,7449,-76,-76,0
649,-313,7470,-71,-71,0
650,-289,7491,-66,-66,0
651,-261,7512,-60,-60,0
652,-225,7534,-52,-52,0
653,-186,7555,-43,-43,0
654,-145,7576,-34,-34,0
655,-99,7597,-23,-23,0
656,-52,7618,-12,-12,0
657,-8,7640,-2,-2,0
658,39,7661,9,9,0
659,86,7682,20,20,0
660,131,7703,31,31,0
661,174,7725,41,41,0
662,215,7746,51,51,0
663,250,7767,59,59,0
664,282,7789,67,67,0
665,309,7810,74,74,0
666,328,7832,78,78,0
667,343,7853,82,82,0
668,353,7875,85,85,0
669,356,7896,86,86,0
670,355,7918,86,86,0
671,350,7939,85,85,0
672,338,7961,82,82,0
673,322,7982,78,78,0
674,302,8004,74,74,0
675,277,8025,68,68,0
676,250,8047,61,61,0
677,220,8069,54,54,0
678,189,8090,47,47,0
679,157,8112,39,39,0
680,124,8134,31,31,0
681,95,8156,24,24,0
682,64,8177,16,16,0
683,34,8199,9,9,0
684,9,8221,2,2,0
685,-14,8243,-4,-4,0
686,-35,8264,-9,-9,0
687,-51,8286,-13,-13,0
688,-62,8308,-16,-16,0
689,-70,8330,-18,-18,0
690,-75,8352,-19,-19,0
691,-74,8374,-19,-19,0
692,-72,8396,-18,-18,0
693,-67,8418,-17,-17,0
694,-55,8440,-14,-14,0
695,-43,8462,-11,-11,0
696,-30,8484,-8,-8,0
697,-12,8506,-3,-3,0
698,3,8528,1,1,0
699,17,8550,4,4,0
700,31,8572,8,8,0
701,44,8594,12,12,0
702,56,8616,15,15,0
703,66,8638,17,17,0
704,72,8660,19,19,0
705,75,8683,20,20,0
706,72,8705,19,19,0
707,68,8727,18,18,0
708,63,8749,17,17,0
709,48,8771,13,13,0
710,32,8794,9,9,0
711,12,8816,3,3,0
712,-12,8838,-3,-3,0
713,-37,8861,-10,-10,0
714,-65,8883,-18,-18,0
715,-98,8905,-27,-27,0
716,-131,8928,-36,-36,0
717,-162,8950,-44,-44,0
718,-193,8972,-53,-53,0
719,-224,8995,-61,-61,0
720,-254,9017,-70,-70,0
721,-282,9040,-78,-78,0
722,-305,9062,-84,-84,0
723,-325,9085,-90,-90,0
