cycle,bin,power_hex,power_unsigned
274026,1059,00000000,0
274027,1060,00000000,0
274028,1061,00000000,0
274029,1062,00000000,0
274030,1063,00000000,0
274031,1064,00000000,0
274032,1065,00000000,0
274033,1066,00000000,0
274034,1067,00000000,0
274035,1068,00000000,0
274036,1069,00000000,0
274037,1070,00000000,0
274038,1071,00000000,0
274039,1072,00000000,0
274040,1073,00000000,0
274041,1074,00000000,0
274042,1075,00000000,0
274043,1076,00000000,0
274044,1077,00000000,0
274045,1078,00000000,0
274046,1079,00000000,0
274047,1080,00000000,0
274048,1081,00000000,0
274049,1082,00000000,0
274050,1083,00000000,0
274051,1084,00000000,0
274052,1085,00000000,0
274053,1086,00000000,0
274054,1087,00000000,0
274055,1088,00000000,0
274056,1089,00000000,0
274057,1090,00000000,0
274058,1091,00000000,0
274059,1092,00000000,0
274060,1093,00000000,0
274061,1094,00000000,0
274062,1095,00000000,0
274063,1096,00000000,0
274064,1097,00000000,0
274065,1098,00000000,0
274066,1099,00000000,0
274067,1100,00000000,0
274068,1101,00000000,0
274069,1102,00000000,0
274070,1103,00000000,0
274071,1104,00000000,0
274072,1105,00000000,0
274073,1106,00000000,0
274074,1107,00000000,0
274075,1108,00000000,0
274076,1109,00000000,0
274077,1110,00000000,0
274078,1111,00000000,0
274079,1112,00000000,0
274080,1113,00000000,0
274081,1114,00000000,0
274082,1115,00000000,0
274083,1116,00000000,0
274084,1117,00000000,0
274085,1118,00000000,0
274086,1119,00000000,0
274087,1120,00000000,0
274088,1121,00000000,0
274089,1122,00000000,0
274090,1123,00000000,0
274091,1124,00000000,0
274092,1125,00000000,0
274093,1126,00000000,0
274094,1127,00000000,0
274095,1128,00000000,0
274096,1129,00000000,0
274097,1130,00000000,0
274098,1131,00000000,0
274099,1132,00000000,0
274100,1133,00000000,0
274101,1134,00000000,0
274102,1135,00000000,0
274103,1136,00000000,0
274104,1137,00000000,0
274105,1138,00000000,0
274106,1139,00000000,0
274107,1140,00000000,0
274108,1141,00000000,0
274109,1142,00000000,0
274110,1143,00000000,0
274111,1144,00000000,0
274112,1145,00000000,0
274113,1146,00000000,0
274114,1147,00000000,0
274115,1148,00000000,0
274116,1149,00000000,0
274117,1150,00000000,0
274118,1151,00000000,0
274119,1152,00000000,0
274120,1153,00000000,0
274121,1154,00000000,0
274122,1155,00000000,0
274123,1156,00000000,0
274124,1157,00000000,0
274125,1158,00000000,0
274126,1159,00000000,0
274127,1160,00000000,0
274128,1161,00000000,0
274129,1162,00000000,0
274130,1163,00000000,0
274131,1164,00000000,0
274132,1165,00000000,0
274133,1166,00000000,0
274134,1167,00000000,0
274135,1168,00000000,0
274136,1169,00000000,0
274137,1170,00000000,0
274138,1171,00000000,0
274139,1172,00000000,0
274140,1173,00000000,0
274141,1174,00000000,0
274142,1175,00000000,0
274143,1176,00000000,0
274144,1177,00000000,0
274145,1178,00000000,0
274146,1179,00000000,0
274147,1180,00000000,0
274148,1181,00000000,0
274149,1182,00000000,0
274150,1183,00000000,0
274151,1184,00000000,0
274152,1185,00000000,0
274153,1186,00000000,0
274154,1187,00000000,0
274155,1188,00000000,0
274156,1189,00000000,0
274157,1190,00000000,0
274158,1191,00000000,0
274159,1192,00000000,0
274160,1193,00000000,0
