time_ps,write_index,bram_addr,bram_en,bram_we,bram_wrdata,writer_busy,vpp_done,mean_square_done,wave_done,error
2068395000,317,0x004fc,1,1111,0xxxxxxxxx,1,0,0,0,x
2068455000,318,0x00500,1,1111,0xxxxxxxxx,1,0,0,0,x
2068515000,319,0x00504,1,1111,0xxxxxxxxx,1,0,0,0,x
2068575000,320,0x00508,1,1111,0xxxxxxxxx,1,0,0,0,x
2068635000,321,0x0050c,1,1111,0xxxxxxxxx,1,0,0,0,x
2068695000,322,0x00510,1,1111,0xxxxxxxxx,1,0,0,0,x
2068755000,323,0x00514,1,1111,0xxxxxxxxx,1,0,0,0,x
2068815000,324,0x00518,1,1111,0xxxxxxxxx,1,0,0,0,x
2068875000,325,0x0051c,1,1111,0xxxxxxxxx,1,0,0,0,x
2068935000,326,0x00520,1,1111,0xxxxxxxxx,1,0,0,0,x
2068995000,327,0x00524,1,1111,0xxxxxxxxx,1,0,0,0,x
2069055000,328,0x00528,1,1111,0xxxxxxxxx,1,0,0,0,x
2069115000,329,0x0052c,1,1111,0xxxxxxxxx,1,0,0,0,x
2069175000,330,0x00530,1,1111,0xxxxxxxxx,1,0,0,0,x
2069235000,331,0x00534,1,1111,0xxxxxxxxx,1,0,0,0,x
2069295000,332,0x00538,1,1111,0xxxxxxxxx,1,0,0,0,x
2069355000,333,0x0053c,1,1111,0xxxxxxxxx,1,0,0,0,x
2069415000,334,0x00540,1,1111,0xxxxxxxxx,1,0,0,0,x
2069475000,335,0x00544,1,1111,0xxxxxxxxx,1,0,0,0,x
2069535000,336,0x00548,1,1111,0xxxxxxxxx,1,0,0,0,x
2069595000,337,0x0054c,1,1111,0xxxxxxxxx,1,0,0,0,x
2069655000,338,0x00550,1,1111,0xxxxxxxxx,1,0,0,0,x
2069715000,339,0x00554,1,1111,0xxxxxxxxx,1,0,0,0,x
2069775000,340,0x00558,1,1111,0xxxxxxxxx,1,0,0,0,x
2069835000,341,0x0055c,1,1111,0xxxxxxxxx,1,0,0,0,x
2069895000,342,0x00560,1,1111,0xxxxxxxxx,1,0,0,0,x
2069955000,343,0x00564,1,1111,0xxxxxxxxx,1,0,0,0,x
2070015000,344,0x00568,1,1111,0xxxxxxxxx,1,0,0,0,x
2070075000,345,0x0056c,1,1111,0xxxxxxxxx,1,0,0,0,x
2070135000,346,0x00570,1,1111,0xxxxxxxxx,1,0,0,0,x
2070195000,347,0x00574,1,1111,0xxxxxxxxx,1,0,0,0,x
2070255000,348,0x00578,1,1111,0xxxxxxxxx,1,0,0,0,x
2070315000,349,0x0057c,1,1111,0xxxxxxxxx,1,0,0,0,x
2070375000,350,0x00580,1,1111,0xxxxxxxxx,1,0,0,0,x
2070435000,351,0x00584,1,1111,0xxxxxxxxx,1,0,0,0,x
2070495000,352,0x00588,1,1111,0xxxxxxxxx,1,0,0,0,x
2070555000,353,0x0058c,1,1111,0xxxxxxxxx,1,0,0,0,x
2070615000,354,0x00590,1,1111,0xxxxxxxxx,1,0,0,0,x
