time_ps,bram_addr,bram_en,bram_we,bram_wrdata,fir_data,fir_valid,vpp_data,vpp_valid,mean_square_data,mean_square_valid,writer_busy,vpp_done,mean_square_done
2533265000,0x17a84,1,1111,0x01200128,288,1,0x00000000,0,0x00000000,0,1,0,0
2533285000,0x17a88,1,1111,0x012f0135,303,1,0x00000000,0,0x00000000,0,1,0,0
2533305000,0x17a8c,1,1111,0x012f012c,303,1,0x00000000,0,0x00000000,0,1,0,0
2533325000,0x17a90,1,1111,0x01300134,304,1,0x00000000,0,0x00000000,0,1,0,0
2533345000,0x17a94,1,1111,0x01390135,313,1,0x00000000,0,0x00000000,0,1,0,0
2533365000,0x17a98,1,1111,0x01390138,313,1,0x00000000,0,0x00000000,0,1,0,0
2533385000,0x17a9c,1,1111,0x01410138,321,1,0x00000000,0,0x00000000,0,1,0,0
2533405000,0x17aa0,1,1111,0x013e0144,318,1,0x00000000,0,0x00000000,0,1,0,0
2533425000,0x17aa4,1,1111,0x0141013e,321,1,0x00000000,0,0x00000000,0,1,0,0
2533445000,0x17aa8,1,1111,0x01490145,329,1,0x00000000,0,0x00000000,0,1,0,0
2533465000,0x17aac,1,1111,0x0142014b,322,1,0x00000000,0,0x00000000,0,1,0,0
2533485000,0x17ab0,1,1111,0x01460151,326,1,0x00000000,0,0x00000000,0,1,0,0
2533505000,0x17ab4,1,1111,0x01550149,341,1,0x00000000,0,0x00000000,0,1,0,0
2533525000,0x17ab8,1,1111,0x014c0144,332,1,0x00000000,0,0x00000000,0,1,0,0
2533545000,0x17abc,1,1111,0x0155014e,341,1,0x00000000,0,0x00000000,0,1,0,0
2533565000,0x17ac0,1,1111,0x01590150,345,1,0x00000000,0,0x00000000,0,1,0,0
2533585000,0x17ac4,1,1111,0x01580153,344,1,0x00000000,0,0x00000000,0,1,0,0
2533605000,0x17ac8,1,1111,0x0157014e,343,1,0x00000000,0,0x00000000,0,1,0,0
2533625000,0x17acc,1,1111,0x01530157,339,1,0x00000000,0,0x00000000,0,1,0,0
2533645000,0x17ad0,1,1111,0x0152015a,338,1,0x00000000,0,0x00000000,0,1,0,0
2533665000,0x17ad4,1,1111,0x01570153,343,1,0x00000000,0,0x00000000,0,1,0,0
2533685000,0x17ad8,1,1111,0x015c015f,348,1,0x00000000,0,0x00000000,0,1,0,0
2533705000,0x17adc,1,1111,0x015b0163,347,1,0x00000000,0,0x00000000,0,1,0,0
2533725000,0x17ae0,1,1111,0x01620167,354,1,0x00000000,0,0x00000000,0,1,0,0
2533745000,0x17ae4,1,1111,0x01600162,352,1,0x00000000,0,0x00000000,0,1,0,0
2533765000,0x17ae8,1,1111,0x01700167,368,1,0x00000000,0,0x00000000,0,1,0,0
2533785000,0x17aec,1,1111,0x015e0164,350,1,0x00000000,0,0x00000000,0,1,0,0
2533805000,0x17af0,1,1111,0x01640161,356,1,0x00000000,0,0x00000000,0,1,0,0
